"Appendix 3. Upper 25% quantile of Evolutionary Distinctiveness across 9,755 lepidosaur species and respective threat status according to the IUCN Red List.",,,,
,,,,
Infraorder,species,status,x,
Gekkota,Hemidactylus_bowringii,UA,20.40254557,
Gekkota,Hemidactylus_brasilianus,UA,18.67323397,
Gekkota,Hemidactylus_brookii,UA,20.72711227,
Gekkota,Hemidactylus_citernii,UA,15.74564501,
Gekkota,Hemidactylus_craspedotus,UA,22.58695409,
Gekkota,Hemidactylus_depressus,LC,16.4428766,
Gekkota,Hemidactylus_fasciatus,UA,27.74528309,
Gekkota,Hemidactylus_frenatus,LC,17.89773458,
Gekkota,Hemidactylus_garnotii,UA,20.9245868,
Gekkota,Hemidactylus_giganteus,LC,23.07417768,
Gekkota,Hemidactylus_gracilis,LC,16.89685854,
Gekkota,Hemidactylus_hajarensis,UA,16.60360673,
Gekkota,Hemidactylus_hunae,UA,19.82410477,
Gekkota,Hemidactylus_imbricatus,LC,19.52245185,
Gekkota,Hemidactylus_inintellectus,LC,17.16146026,
Gekkota,Hemidactylus_ituriensis,UA,17.19860833,
Gekkota,Hemidactylus_karenorum,UA,17.55668858,
Gekkota,Hemidactylus_longicephalus,UA,18.07774048,
Gekkota,Hemidactylus_luqueorum,UA,17.19554472,
Gekkota,Hemidactylus_macropholis,UA,16.45318221,
Gekkota,Hemidactylus_maculatus,LC,17.69541925,
Gekkota,Hemidactylus_newtoni,UA,16.81204505,
Gekkota,Hemidactylus_ophiolepoides,UA,17.951862,
Gekkota,Hemidactylus_parvimaculatus,UA,23.26209798,
Gekkota,Hemidactylus_persicus,UA,18.63399685,
Gekkota,Hemidactylus_platycephalus,UA,18.07604492,
Gekkota,Hemidactylus_platyurus,UA,21.74148688,
Gekkota,Hemidactylus_prashadi,LC,20.51524205,
Gekkota,Hemidactylus_pumilio,LC,22.06058105,
Gekkota,Hemidactylus_ruspolii,UA,26.86976272,
Gekkota,Hemidactylus_smithi,DD,18.69753327,
Gekkota,Hemiphyllodactylus_aurantiacus,LC,28.94124548,
Gekkota,Hemiphyllodactylus_banaensis,UA,18.53668165,
Gekkota,Hemiphyllodactylus_chiangmaiensis,UA,20.99891881,
Gekkota,Hemiphyllodactylus_engganoensis,UA,18.77422583,
Gekkota,Hemiphyllodactylus_ganoklonis,LC,24.56132991,
Gekkota,Hemiphyllodactylus_harterti,UA,30.36447707,
Gekkota,Hemiphyllodactylus_insularis,DD,21.15819311,
Gekkota,Hemiphyllodactylus_kiziriani,UA,24.42003782,
Gekkota,Hemiphyllodactylus_larutensis,UA,16.29126033,
Gekkota,Hemiphyllodactylus_margarethae,UA,20.42375899,
Gekkota,Hemiphyllodactylus_tehtarik,UA,16.29126033,
Gekkota,Hemiphyllodactylus_titiwangsaensis,UA,22.12218456,
Gekkota,Hemiphyllodactylus_typus,UA,21.09853901,
Gekkota,Hemiphyllodactylus_yunnanensis,UA,29.07438988,
Gekkota,Hemiphyllodactylus_zugi,UA,24.5168725,
Gekkota,Hemitheconyx_caudicinctus,LC,49.73099357,
Gekkota,Hemitheconyx_taylori,UA,49.73099357,
Gekkota,Hesperoedura_reticulata,UA,36.59241065,
Gekkota,Heteronotia_atra,UA,17.46963236,
Gekkota,Heteronotia_binoei,UA,19.87341738,
Gekkota,Heteronotia_planiceps,UA,18.37138287,
Gekkota,Holodactylus_africanus,UA,39.61903108,
Gekkota,Holodactylus_cornii,UA,39.61903108,
Gekkota,Homonota_andicola,UA,16.90342189,
Gekkota,Homonota_borellii,UA,16.83838324,
Gekkota,Homonota_darwinii,UA,20.52262275,
Gekkota,Homonota_fasciata,LC,25.32572875,
Gekkota,Homonota_underwoodi,UA,25.91562626,
Gekkota,Homonota_uruguayensis,UA,18.3344414,
Gekkota,Homonota_whitii,UA,16.81300415,
Gekkota,Homonota_williamsii,UA,18.60079344,
Gekkota,Homopholis_arnoldi,UA,21.70586689,
Gekkota,Homopholis_fasciata,UA,35.60484651,
Gekkota,Homopholis_mulleri,NT,24.63036969,
Gekkota,Homopholis_walbergii,LC,22.52241491,
Gekkota,Hoplodactylus_deLCourti,EX,17.00292537,
Gekkota,Hoplodactylus_duvaucelii,LC,17.00292537,
Gekkota,Kolekanos_plumicaudus,UA,53.72790236,
Gekkota,Lepidoblepharis_buchwaldi,UA,20.244556,
